example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
331,"{""choices"": ""[\""Blue\"", \""Black\"", \""Green\"", \""Red\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the clothing of the person filling the water bottle inside the Buddha statue?"", ""video_id"": ""1_plotQA/movie101_40""}",1_plotQA/movie101_40,What color is the clothing of the person filling the water bottle inside the Buddha statue?,"[""Blue"", ""Black"", ""Green"", ""Red""]",plotQA,A,B,B,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.41545043885707855,True,True,0.41545043885707855,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
332,"{""choices"": ""[\""Black\"", \""Blue\"", \""White\"", \""Green\""]"", ""correct_choice"": ""C"", ""question"": ""What color is the hair of the person under the umbrella in the video?"", ""video_id"": ""1_plotQA/movie101_40""}",1_plotQA/movie101_40,What color is the hair of the person under the umbrella in the video?,"[""Black"", ""Blue"", ""White"", ""Green""]",plotQA,C,A,C,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.6217684000730515,True,False,0.6217684000730515,True,False,llm,llm_verifier_disagreement,route_224,X,0.84,"X has much stronger confidence signals: higher top1_prob and much larger margin, with slightly lower entropy.",0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.84,""reason"":""X has much stronger confidence signals: higher top1_prob and much larger margin, with slightly lower entropy.""}"
333,"{""choices"": ""[\""Neutral\"", \""Grimacing\"", \""Sad\"", \""Excited\""]"", ""correct_choice"": ""B"", ""question"": ""What is the expression of the person riding the horse when directly exposed to sunlight?"", ""video_id"": ""1_plotQA/movie101_40""}",1_plotQA/movie101_40,What is the expression of the person riding the horse when directly exposed to sunlight?,"[""Neutral"", ""Grimacing"", ""Sad"", ""Excited""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.8589479327201843,False,True,0.8589479327201843,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
334,"{""choices"": ""[\""Knife\"", \""Sword\"", \""Gun\"", \""Wooden Stick, Stone and Hemp Rope\""]"", ""correct_choice"": ""D"", ""question"": ""What are the hunting tools used by the wild man made of?"", ""video_id"": ""1_plotQA/movie101_41""}",1_plotQA/movie101_41,What are the hunting tools used by the wild man made of?,"[""Knife"", ""Sword"", ""Gun"", ""Wooden Stick, Stone and Hemp Rope""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9995155129727209,False,True,0.9995155129727209,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
335,"{""choices"": ""[\""Black\"", \""Red\"", \""Blue\"", \""Green\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the pottery on the ground in the video?"", ""video_id"": ""1_plotQA/movie101_41""}",1_plotQA/movie101_41,What color is the pottery on the ground in the video?,"[""Black"", ""Red"", ""Blue"", ""Green""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.8582869842648506,False,True,0.8582869842648506,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
336,"{""choices"": ""[\""Leaves\"", \""Ducks\"", \""Feathers\"", \""Animal Skin\""]"", ""correct_choice"": ""D"", ""question"": ""What is floating on the river's surface?"", ""video_id"": ""1_plotQA/movie101_41""}",1_plotQA/movie101_41,What is floating on the river's surface?,"[""Leaves"", ""Ducks"", ""Feathers"", ""Animal Skin""]",plotQA,D,A,A,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.7192307561635971,True,True,0.7192307561635971,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
337,"{""choices"": ""[\""Plastic\"", \""Bone\"", \""Wood\"", \""Stone\""]"", ""correct_choice"": ""B"", ""question"": ""What is the mask worn by the diving wild man made of?"", ""video_id"": ""1_plotQA/movie101_41""}",1_plotQA/movie101_41,What is the mask worn by the diving wild man made of?,"[""Plastic"", ""Bone"", ""Wood"", ""Stone""]",plotQA,B,C,B,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.7717331424355507,True,False,0.7717331424355507,True,False,llm,llm_verifier_disagreement,route_224,X,0.95,"X has much higher top1_prob and margin, with lower entropy, indicating stronger confidence.",0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.95,""reason"":""X has much higher top1_prob and margin, with lower entropy, indicating stronger confidence.""}"
338,"{""choices"": ""[\""\"", \""There is an archery scene\"", \""There is no archery scene\"", \""\""]"", ""correct_choice"": ""B"", ""question"": ""Is there a scene of archery in the video?"", ""video_id"": ""1_plotQA/movie101_5""}",1_plotQA/movie101_5,Is there a scene of archery in the video?,"["""", ""There is an archery scene"", ""There is no archery scene"", """"]",plotQA,B,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.8548530414700508,False,True,0.8548530414700508,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
339,"{""choices"": ""[\""Snowstorm\"", \""Cloudy\"", \""Sunny\"", \""Rainy\""]"", ""correct_choice"": ""D"", ""question"": ""What is the weather during the fight at the beginning of the video?"", ""video_id"": ""1_plotQA/movie101_5""}",1_plotQA/movie101_5,What is the weather during the fight at the beginning of the video?,"[""Snowstorm"", ""Cloudy"", ""Sunny"", ""Rainy""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9898615221027285,False,True,0.9898615221027285,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
340,"{""choices"": ""[\""Cloudy\"", \""Rainy\"", \""Sunny\"", \""Snowstorm\""]"", ""correct_choice"": ""B"", ""question"": ""What is the weather during the outdoor fight scene with the soldiers standing?"", ""video_id"": ""1_plotQA/movie101_5""}",1_plotQA/movie101_5,What is the weather during the outdoor fight scene with the soldiers standing?,"[""Cloudy"", ""Rainy"", ""Sunny"", ""Snowstorm""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.740417368710041,True,True,0.740417368710041,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
341,"{""choices"": ""[\""An earthquake occurred\"", \""Their house is being lifted into the air\"", \""Sudden change in weather\"", \""The house collapsed\""]"", ""correct_choice"": ""B"", ""question"": ""At the beginning of the video, why is the man in a white t-shirt panicking?"", ""video_id"": ""1_plotQA/movie101_51""}",1_plotQA/movie101_51,"At the beginning of the video, why is the man in a white t-shirt panicking?","[""An earthquake occurred"", ""Their house is being lifted into the air"", ""Sudden change in weather"", ""The house collapsed""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9926810483448207,False,True,0.9926810483448207,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
342,"{""choices"": ""[\""They were being chased\"", \""To watch a person in white clothes cooking\"", \""They were hiding from the rain\"", \""They were looking for something\""]"", ""correct_choice"": ""B"", ""question"": ""At the end of the video, why did everyone on the street run into a house?"", ""video_id"": ""1_plotQA/movie101_51""}",1_plotQA/movie101_51,"At the end of the video, why did everyone on the street run into a house?","[""They were being chased"", ""To watch a person in white clothes cooking"", ""They were hiding from the rain"", ""They were looking for something""]",plotQA,B,A,A,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.48254968225955963,True,True,0.48254968225955963,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
343,"{""choices"": ""[\""Meditating\"", \""Preparing food\"", \""Running\"", \""Walking\""]"", ""correct_choice"": ""B"", ""question"": ""What is the old man in Japanese clothing doing on the street?"", ""video_id"": ""1_plotQA/movie101_51""}",1_plotQA/movie101_51,What is the old man in Japanese clothing doing on the street?,"[""Meditating"", ""Preparing food"", ""Running"", ""Walking""]",plotQA,B,A,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.527577593922615,True,False,0.527577593922615,True,False,llm,llm_verifier_disagreement,route_224,X,0.86,"X has much higher top1_prob and prob_margin, with slightly lower entropy.",0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.86,""reason"":""X has much higher top1_prob and prob_margin, with slightly lower entropy.""}"
344,"{""choices"": ""[\""A letter\"", \""A watch\"", \""A shoe\"", \""A belt\""]"", ""correct_choice"": ""B"", ""question"": ""At the beginning of the video, what are the two soldiers looking for on the battlefield?"", ""video_id"": ""1_plotQA/movie101_52""}",1_plotQA/movie101_52,"At the beginning of the video, what are the two soldiers looking for on the battlefield?","[""A letter"", ""A watch"", ""A shoe"", ""A belt""]",plotQA,B,C,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.5711653530597687,True,False,0.5711653530597687,True,False,llm,llm_verifier_disagreement,route_224,X,0.79,"X has stronger confidence across top1_prob and margin, with lower entropy than Y.",0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.79,""reason"":""X has stronger confidence across top1_prob and margin, with lower entropy than Y.""}"
345,"{""choices"": ""[\""He hides in a trench\"", \""He retreats safely\"", \""He is knocked down by a bomb\"", \""He is shot down by an enemy hiding in the dark\""]"", ""correct_choice"": ""D"", ""question"": ""What is the fate of the person who found the watch?"", ""video_id"": ""1_plotQA/movie101_52""}",1_plotQA/movie101_52,What is the fate of the person who found the watch?,"[""He hides in a trench"", ""He retreats safely"", ""He is knocked down by a bomb"", ""He is shot down by an enemy hiding in the dark""]",plotQA,D,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.7437285929918289,True,True,0.7437285929918289,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
346,"{""choices"": ""[\""They ran away quickly\"", \""They lay down to hide\"", \""They rolled out a cannon to fight\"", \""They set up a machine gun\""]"", ""correct_choice"": ""C"", ""question"": ""What preparation did the soldiers in the camp make to fight against the enemy's tanks?"", ""video_id"": ""1_plotQA/movie101_52""}",1_plotQA/movie101_52,What preparation did the soldiers in the camp make to fight against the enemy's tanks?,"[""They ran away quickly"", ""They lay down to hide"", ""They rolled out a cannon to fight"", ""They set up a machine gun""]",plotQA,C,C,D,1.0,0.0,route_112,prob_margin,0.8,lt,224,112,0.5514067560434341,True,False,0.5514067560434341,True,False,llm,llm_verifier_disagreement,route_224,X,0.82,"X has stronger confidence on all key signals: higher top1_prob, much larger margin, and lower entropy.",0.0,False,,,224,224,0.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.82,""reason"":""X has stronger confidence on all key signals: higher top1_prob, much larger margin, and lower entropy.""}"
347,"{""choices"": ""[\""The woman takes off her own wig\"", \""The woman cuts her own hair\"", \""The man in the blue jacket takes off the woman's wig\"", \""The man in the blue jacket cuts the woman's hair short\""]"", ""correct_choice"": ""C"", ""question"": ""At the beginning of the video, why does the woman in red change from long hair to short hair?"", ""video_id"": ""1_plotQA/movie101_53""}",1_plotQA/movie101_53,"At the beginning of the video, why does the woman in red change from long hair to short hair?","[""The woman takes off her own wig"", ""The woman cuts her own hair"", ""The man in the blue jacket takes off the woman's wig"", ""The man in the blue jacket cuts the woman's hair short""]",plotQA,C,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.22568023204803467,True,True,0.22568023204803467,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
348,"{""choices"": ""[\""Sitting alone at the table drinking\"", \""Sitting alone at the table eating\"", \""Sitting alone on the bed making a phone call\"", \""Sitting alone at the table playing on the computer\""]"", ""correct_choice"": ""C"", ""question"": ""At the end of the video, what is the activity of the man in the blue jacket after entering the room?"", ""video_id"": ""1_plotQA/movie101_53""}",1_plotQA/movie101_53,"At the end of the video, what is the activity of the man in the blue jacket after entering the room?","[""Sitting alone at the table drinking"", ""Sitting alone at the table eating"", ""Sitting alone on the bed making a phone call"", ""Sitting alone at the table playing on the computer""]",plotQA,C,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.6536528542637825,True,True,0.6536528542637825,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
349,"{""choices"": ""[\""Frolicking and messing around turns into hugging and kissing\"", \""Drinking together\"", \""Watching TV together\"", \""Eating together\""]"", ""correct_choice"": ""A"", ""question"": ""The change in indoor activities of the man in the blue jacket and the woman in the red sweater"", ""video_id"": ""1_plotQA/movie101_53""}",1_plotQA/movie101_53,The change in indoor activities of the man in the blue jacket and the woman in the red sweater,"[""Frolicking and messing around turns into hugging and kissing"", ""Drinking together"", ""Watching TV together"", ""Eating together""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.08278921246528625,True,True,0.08278921246528625,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
350,"{""choices"": ""[\""An ambulance took him to the hospital\"", \""He walked to the hospital himself\"", \""A red taxi took him to the hospital\"", \""A police car took him to the hospital\""]"", ""correct_choice"": ""C"", ""question"": ""How did the person in the black leather jacket get to the hospital after the car accident?"", ""video_id"": ""1_plotQA/movie101_54""}",1_plotQA/movie101_54,How did the person in the black leather jacket get to the hospital after the car accident?,"[""An ambulance took him to the hospital"", ""He walked to the hospital himself"", ""A red taxi took him to the hospital"", ""A police car took him to the hospital""]",plotQA,C,D,C,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.13432881236076355,True,False,0.13432881236076355,True,False,llm,llm_verifier_disagreement,route_112,Y,0.93,"Y has much higher top1_prob and margin, with lower entropy, indicating stronger support.",0.0,False,,,224,112,0.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.93,""reason"":""Y has much higher top1_prob and margin, with lower entropy, indicating stronger support.""}"
351,"{""choices"": ""[\""An important deal\"", \""An important arrest operation\"", \""An important match\"", \""A sudden natural disaster\""]"", ""correct_choice"": ""B"", ""question"": ""In the video, what is the person in black clothes discussing with the person sitting in the car?"", ""video_id"": ""1_plotQA/movie101_54""}",1_plotQA/movie101_54,"In the video, what is the person in black clothes discussing with the person sitting in the car?","[""An important deal"", ""An important arrest operation"", ""An important match"", ""A sudden natural disaster""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.8436125069856644,False,True,0.8436125069856644,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
352,"{""choices"": ""[\""Hit a pedestrian\"", \""Hit by a car\"", \""Motorcycle malfunction\"", \""Scammed\""]"", ""correct_choice"": ""B"", ""question"": ""What did the person in the black leather jacket encounter while escaping on a motorcycle?"", ""video_id"": ""1_plotQA/movie101_54""}",1_plotQA/movie101_54,What did the person in the black leather jacket encounter while escaping on a motorcycle?,"[""Hit a pedestrian"", ""Hit by a car"", ""Motorcycle malfunction"", ""Scammed""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.5641490519046783,True,True,0.5641490519046783,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
353,"{""choices"": ""[\""Smile\"", \""Neutral\"", \""Excited\"", \""Sad\""]"", ""correct_choice"": ""A"", ""question"": ""What is the first expression of the person in the gray suit jacket after receiving the item from the little girl in front of the ruins?"", ""video_id"": ""1_plotQA/movie101_55""}",1_plotQA/movie101_55,What is the first expression of the person in the gray suit jacket after receiving the item from the little girl in front of the ruins?,"[""Smile"", ""Neutral"", ""Excited"", ""Sad""]",plotQA,A,A,B,1.0,0.0,route_112,prob_margin,0.8,lt,224,112,0.17305967211723328,True,False,0.17305967211723328,True,False,llm,llm_verifier_disagreement,route_112,Y,0.74,"Y has higher top1_prob and prob_margin, with lower entropy, so it looks more confident.",0.0,False,,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has higher top1_prob and prob_margin, with lower entropy, so it looks more confident.""}"
354,"{""choices"": ""[\""Drinking water\"", \""Eating\"", \""Waiting for someone\"", \""To visit the injured child\""]"", ""correct_choice"": ""D"", ""question"": ""Why is the person in the gray suit jacket standing at the door of the ward?"", ""video_id"": ""1_plotQA/movie101_55""}",1_plotQA/movie101_55,Why is the person in the gray suit jacket standing at the door of the ward?,"[""Drinking water"", ""Eating"", ""Waiting for someone"", ""To visit the injured child""]",plotQA,D,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.062180519104003906,True,True,0.062180519104003906,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
355,"{""choices"": ""[\""Red\"", \""Yellow\"", \""White\"", \""Black\""]"", ""correct_choice"": ""D"", ""question"": ""What color is the man's clothes when he arrives at the woman's house?"", ""video_id"": ""1_plotQA/movie101_56""}",1_plotQA/movie101_56,What color is the man's clothes when he arrives at the woman's house?,"[""Red"", ""Yellow"", ""White"", ""Black""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9123442955315113,False,True,0.9123442955315113,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
356,"{""choices"": ""[\""Water bottle\"", \""Pass\"", \""ID card\"", \""Train ticket\""]"", ""correct_choice"": ""B"", ""question"": ""What is on the woman's table that makes the man angry?"", ""video_id"": ""1_plotQA/movie101_56""}",1_plotQA/movie101_56,What is on the woman's table that makes the man angry?,"[""Water bottle"", ""Pass"", ""ID card"", ""Train ticket""]",plotQA,B,D,B,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.049351900815963745,True,False,0.049351900815963745,True,False,llm,llm_verifier_disagreement,route_224,X,0.56,X has slightly higher top1_prob and prob_margin; Y only has marginally lower entropy.,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.56,""reason"":""X has slightly higher top1_prob and prob_margin; Y only has marginally lower entropy.""}"
357,"{""choices"": ""[\""Angry\"", \""Excited\"", \""Sad\"", \""Neutral\""]"", ""correct_choice"": ""A"", ""question"": ""What is the man's emotion at the beginning?"", ""video_id"": ""1_plotQA/movie101_56""}",1_plotQA/movie101_56,What is the man's emotion at the beginning?,"[""Angry"", ""Excited"", ""Sad"", ""Neutral""]",plotQA,A,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.5000339895486832,True,True,0.5000339895486832,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
358,"{""choices"": ""[\""Television\"", \""Sunglasses\"", \""Food\"", \""Money\""]"", ""correct_choice"": ""B"", ""question"": ""What did the old man in the video receive as a gift from the police?"", ""video_id"": ""1_plotQA/movie101_57""}",1_plotQA/movie101_57,What did the old man in the video receive as a gift from the police?,"[""Television"", ""Sunglasses"", ""Food"", ""Money""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.7424237132072449,True,True,0.7424237132072449,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
359,"{""choices"": ""[\""Scrap collector\"", \""Teacher\"", \""Police officer\"", \""Doctor\""]"", ""correct_choice"": ""A"", ""question"": ""What is the occupation of the old man in the video?"", ""video_id"": ""1_plotQA/movie101_57""}",1_plotQA/movie101_57,What is the occupation of the old man in the video?,"[""Scrap collector"", ""Teacher"", ""Police officer"", ""Doctor""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.7504314556717873,True,True,0.7504314556717873,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
360,"{""choices"": ""[\""Bus\"", \""Bicycle\"", \""Car\"", \""Electric scooter\""]"", ""correct_choice"": ""D"", ""question"": ""What mode of transportation does the woman in the video use?"", ""video_id"": ""1_plotQA/movie101_57""}",1_plotQA/movie101_57,What mode of transportation does the woman in the video use?,"[""Bus"", ""Bicycle"", ""Car"", ""Electric scooter""]",plotQA,D,D,B,1.0,0.0,route_112,prob_margin,0.8,lt,224,112,0.0,True,False,0.0,True,False,llm,llm_verifier_disagreement,route_112,Y,0.74,"Y has higher top1_prob and prob_margin, with slightly lower entropy, indicating stronger confidence.",0.0,False,,,224,112,1.0,112,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""Y"",""confidence"":0.74,""reason"":""Y has higher top1_prob and prob_margin, with slightly lower entropy, indicating stronger confidence.""}"
